NAME,CDL_CODE,AREA,PERCENTAGE,YEAR,SWAT_CODE
Corn,1,10585.53,9.69,2016,CORN
Sorghum,4,26.83,0.02,2016,SGHY
Soybeans,5,9550.44,8.74,2016,SOYB
Sunflower,6,9.38,0.01,2016,SUNF
Sweet Corn,12,13.26,0.01,2016,CORN
Pop or Orn Corn,13,8.74,0.01,2016,CORN
Mint,14,1.8,0.0,2016,AGRR
Barley,21,29.71,0.03,2016,BARL
Durum Wheat,22,0.0,0.0,2016,AGRR
Spring Wheat,23,1.73,0.0,2016,SWHT
Winter Wheat,24,2709.47,2.48,2016,WWHT
Dbl Crop WinWht/Soybeans,26,6.41,0.01,2016,SOYB
Rye,27,199.33,0.18,2016,RYE
Oats,28,291.37,0.27,2016,OATS
Millet,29,0.39,0.0,2016,LENT
Speltz,30,24.39,0.02,2016,GRAS
Canola,31,0.01,0.0,2016,CANA
Flaxseed,32,0.0,0.0,2016,FLAX
Rape Seed,34,0.24,0.0,2016,CANA
Alfalfa,36,3717.16,3.4,2016,ALFA
Other Hay/Non Alfalfa,37,519.41,0.48,2016,ALFA
Buckwheat,39,0.47,0.0,2016,AGRR
Sugarbeets,41,668.68,0.61,2016,AGRR
Dry Beans,42,895.35,0.82,2016,AGRR
Potatoes,43,184.67,0.17,2016,POTA
Other Crops,44,4.62,0.0,2016,AGRR
Misc Vegs & Fruits,47,0.42,0.0,2016,AGRR
Watermelons,48,7.8,0.01,2016,WMEL
Onions,49,6.71,0.01,2016,ONIO
Cucumbers,50,175.84,0.16,2016,CUCM
Peas,53,16.62,0.02,2016,PEAS
Tomatoes,54,14.34,0.01,2016,TOMA
Hops,56,0.06,0.0,2016,AGRR
Herbs,57,12.77,0.01,2016,SHRB
Clover/Wildflowers,58,57.28,0.05,2016,CLVA
Sod/Grass Seed,59,96.37,0.09,2016,GRAS
Switchgrass,60,4.36,0.0,2016,GRAS
Fallow/Idle Cropland,61,1438.08,1.32,2016,AGRR
Cherries,66,463.76,0.42,2016,GRAP
Peaches,67,9.84,0.01,2016,GRAP
Apples,68,340.14,0.31,2016,APPL
Grapes,69,139.05,0.13,2016,GRAP
Christmas Trees,70,179.94,0.16,2016,GRAP
Other Tree Crops,71,1.79,0.0,2016,GRAP
Pears,77,2.29,0.0,2016,GRAP
Aquaculture,92,0.15,0.0,2016,AGRR
Open Water,111,2766.03,2.53,2016,WATR
Developed/Open Space,121,6965.46,6.37,2016,UIDU
Developed/Low Intensity,122,4874.08,4.46,2016,URLD
Developed/Med Intensity,123,2074.57,1.9,2016,URMD
Developed/High Intensity,124,842.25,0.77,2016,URHD
Barren,131,300.92,0.28,2016,SHRB
Deciduous Forest,141,31209.65,28.56,2016,FRSD
Evergreen Forest,142,4812.42,4.4,2016,FRSE
Mixed Forest,143,769.39,0.7,2016,FRST
Shrubland,152,1620.63,1.48,2016,SHRB
 Grassland/Pasture,176,4669.28,4.27,2016,PAST
Woody Wetlands,190,15093.11,13.81,2016,WETL
Herbaceous Wetlands,195,640.94,0.59,2016,WETL
Triticale,205,10.05,0.01,2016,TRIT
Carrots,206,12.44,0.01,2016,CRRT
Asparagus,207,7.79,0.01,2016,ASPN
Peppers,216,5.77,0.01,2016,PEPP
Plums,220,0.5,0.0,2016,GRAP
Strawberries,221,0.14,0.0,2016,GRAP
Squash,222,45.74,0.04,2016,AGRR
Dbl Crop WinWht/Corn,225,4.5,0.0,2016,CORN
Dbl Crop Oats/Corn,226,1.23,0.0,2016,CORN
Pumpkins,229,8.4,0.01,2016,AGRR
Dbl Crop Soybeans/Oats,240,0.7,0.0,2016,AGRR
Dbl Crop Corn/Soybeans,241,0.69,0.0,2016,AGRR
Blueberries,242,117.31,0.11,2016,GRAP
Cabbage,243,12.85,0.01,2016,CABG
Celery,245,5.85,0.01,2016,CELR
Radishes,246,1.7,0.0,2016,RADI
Turnips,247,1.08,0.0,2016,AGRR
