NAME,CDL_CODE,AREA,PERCENTAGE,YEAR,SWAT_CODE
Corn,1,10187.37,9.32,2017,CORN
Sorghum,4,21.4,0.02,2017,SGHY
Soybeans,5,10480.86,9.59,2017,SOYB
Sunflower,6,11.23,0.01,2017,SUNF
Pop or Orn Corn,13,4.95,0.0,2017,CORN
Mint,14,0.0,0.0,2017,AGRR
Barley,21,27.33,0.03,2017,BARL
Spring Wheat,23,1.15,0.0,2017,SWHT
Winter Wheat,24,2108.54,1.93,2017,WWHT
Dbl Crop WinWht/Soybeans,26,4.89,0.0,2017,SOYB
Rye,27,125.69,0.12,2017,RYE
Oats,28,253.87,0.23,2017,OATS
Millet,29,0.99,0.0,2017,LENT
Speltz,30,7.09,0.01,2017,GRAS
Canola,31,0.4,0.0,2017,CANA
Alfalfa,36,3976.55,3.64,2017,ALFA
Other Hay/Non Alfalfa,37,663.85,0.61,2017,ALFA
Buckwheat,39,1.1,0.0,2017,AGRR
Sugarbeets,41,627.78,0.57,2017,AGRR
Dry Beans,42,947.99,0.87,2017,AGRR
Potatoes,43,171.31,0.16,2017,POTA
Other Crops,44,6.65,0.01,2017,AGRR
Misc Vegs & Fruits,47,0.07,0.0,2017,AGRR
Watermelons,48,2.54,0.0,2017,WMEL
Onions,49,3.2,0.0,2017,ONIO
Cucumbers,50,167.91,0.15,2017,CUCM
Peas,53,19.97,0.02,2017,PEAS
Tomatoes,54,13.55,0.01,2017,TOMA
Hops,56,0.21,0.0,2017,AGRR
Herbs,57,14.68,0.01,2017,SHRB
Clover/Wildflowers,58,44.94,0.04,2017,CLVA
Sod/Grass Seed,59,26.68,0.02,2017,GRAS
Switchgrass,60,5.26,0.0,2017,GRAS
Fallow/Idle Cropland,61,665.59,0.61,2017,AGRR
Cherries,66,381.78,0.35,2017,GRAP
Peaches,67,4.24,0.0,2017,GRAP
Apples,68,213.23,0.2,2017,APPL
Grapes,69,83.53,0.08,2017,GRAP
Christmas Trees,70,167.61,0.15,2017,GRAP
Other Tree Crops,71,0.68,0.0,2017,GRAP
Walnuts,76,0.01,0.0,2017,WALN
Pears,77,1.47,0.0,2017,GRAP
Aquaculture,92,0.07,0.0,2017,AGRR
Open Water,111,2738.03,2.51,2017,WATR
Developed/Open Space,121,6931.41,6.34,2017,UIDU
Developed/Low Intensity,122,4837.62,4.43,2017,URLD
Developed/Med Intensity,123,2061.72,1.89,2017,URMD
Developed/High Intensity,124,843.27,0.77,2017,URHD
Barren,131,290.14,0.27,2017,SHRB
Deciduous Forest,141,29984.37,27.43,2017,FRSD
Evergreen Forest,142,4635.82,4.24,2017,FRSE
Mixed Forest,143,777.42,0.71,2017,FRST
Shrubland,152,1756.83,1.61,2017,SHRB
 Grassland/Pasture,176,7355.26,6.73,2017,PAST
Woody Wetlands,190,14754.99,13.5,2017,WETL
Herbaceous Wetlands,195,627.31,0.57,2017,WETL
Triticale,205,10.23,0.01,2017,TRIT
Carrots,206,17.1,0.02,2017,CRRT
Asparagus,207,6.72,0.01,2017,ASPN
Peppers,216,5.13,0.0,2017,PEPP
Greens,219,0.08,0.0,2017,GRAS
Strawberries,221,0.06,0.0,2017,GRAP
Squash,222,38.03,0.03,2017,AGRR
Dbl Crop WinWht/Corn,225,2.19,0.0,2017,CORN
Pumpkins,229,6.19,0.01,2017,AGRR
Blueberries,242,143.66,0.13,2017,GRAP
Cabbage,243,12.33,0.01,2017,CABG
Celery,245,5.83,0.01,2017,CELR
Radishes,246,0.74,0.0,2017,RADI
Turnips,247,1.82,0.0,2017,AGRR
